n,m,status,objective_value,time,iterations,solution
4,2,0,3.0,0.00065,3,"[2.0, 0.0, 0.0, 1.0]"
4,6,2,,0.00026,3,
4,10,2,,0.00031,0,
4,14,2,,0.00027,0,
10,2,0,0.714,0.00058,2,"[0.0, 0.0, 0.0, 0.0, 0.571, 0.0, 0.143, 0.0, 0.0, 0.0]"
10,6,2,,0.00033,4,
10,10,2,,0.00041,6,
10,14,2,,0.00049,6,
20,2,0,0.667,0.00037,3,"[0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,6,2,,0.00036,4,
20,10,2,,0.00033,6,
20,14,2,,0.00031,6,
30,2,0,0.667,0.00038,3,"[0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,6,2,,0.00028,4,
30,10,2,,0.00031,6,
30,14,2,,0.00034,6,
40,2,0,0.333,0.00035,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
40,6,2,,0.00028,4,
40,10,2,,0.00031,6,
40,14,2,,0.00035,6,
50,2,0,0.333,0.00036,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,6,2,,0.00032,4,
50,10,2,,0.00038,6,
50,14,2,,0.00051,6,
